1,2,3,4,5,6,USBN,UNBK
84.5625,85.2,83.58333333,84.65,88,89,92.4,88
84.5,86.25,83.425,87.11666667,92,93,96.4,88
84.5,84.95,84.53333333,84.56666667,88,92,93,90
84.9375,85.3,84.56666667,84.56666667,90,93,92.8,68
89.14583333,82.55,84.58333333,86.5,92,92,92.8,84
84.1875,84.7,85.2,86.69166667,90,92,93.2,88
86.875,84.8,85.58333333,86.26666667,94,94,95.4,88
83.625,89.83333333,83.75,84.25,89,94,96.4,90
85.375,85.8,84.65,85.26666667,91,94,96,78
87.625,85.5,83.75,84.86666667,93,90,93,84
90,85.76666667,82.56666667,83.26666667,89,93,97.2,84
83.375,83.8,84.66666667,83.15,93,89,95.8,72
82.875,83.3,82,81.5,89,88,95.4,68
89.75,90.45,91.225,91.5,89,95,97.2,94
91.47916667,82.5,82.66666667,84.24166667,93,89,95.4,90
85.0625,84.65,86.125,88.03333333,91,93,93.4,84
86.4375,86.8,89.95,87.83333333,90,93,96.4,92
84.625,84.65,86.375,86.7,92,93,94.8,68
89.29166667,85,86.15,87.55,88,93,95.4,78
87.3125,86.25,90.075,89.61666667,91,93,96.6,82
86.375,86.95,86.25,88.35,93,92,96,90
88.4375,86.75,90.975,89.86666667,93,92,97.8,88
83.16666667,83.25,83.76666667,83.96666667,92,92,95.2,86
88.08333333,91.1,85.8,83.44166667,92,94,94.8,74
88.2,89.6,88.91666667,86.45833333,90,93,94.2,78
86.8125,86,82.36666667,84.20833333,89,91,94,76
84.625,84.15,82.9,83.3,88,89,94,82
86.875,86.75,88.25,87.83333333,91,94,94.6,76
85.1875,86.25,85.36666667,86.53333333,91,93,97.2,84
85.125,84.3,88.4,85.96666667,92,94,95.2,74
91.16666667,96.6,89.35,91.9,95,95,97,98
87.0625,84.55,83.38333333,87.41666667,92,93,96.4,82
82.75,84.2,83.26666667,83.53333333,87,89,92.4,72
85.5625,83,84.15,86.08333333,91,94,97,74
84.625,87.95,85.55,86.21666667,93,93,97.2,84
86.9375,87.05,88.1,88.65,91,94,96.4,72
89.58333333,87.85,85.65,86.33333333,91,94,96.4,82
88.5625,88.4,91.35,89.85,94,95,96.6,92
85,86.98333333,84.55,86.03333333,90,93,93,72
84.5625,84.7,83.43333333,84.73333333,90,91,93.6,88
83.4375,83.75,82,82.28333333,89,89,92.4,80
89.04166667,84.75,90.575,85.66666667,90,95,97,88
86.9375,85.05,85.175,88.55,93,94,97,94
84.9375,84.8,83.9,85.58333333,94,93,96,88
84.4375,84.3,82.76666667,82.98333333,90,88,92.4,48
82.6875,83.15,85.45,83.25,89,90,91.6,64
88.8125,85.05,90.175,90.98333333,92,91,96.4,86
85,83.41666667,83.11666667,82.98333333,89,92,94.2,88
84.1875,84.35,85.56666667,86.06666667,91,95,93,84
84.8125,85.75,86.23333333,84.33333333,89,89,94.6,72
84.5,84.3,82.9,83.1,90,90,93,66
88,85.4,86.65,87.425,92,93,95.4,94
84.9375,86.05,83.15,84.5,89,92,95.8,84
89.60416667,85.55,84.4,85.61666667,92,94,97.8,92
84.625,86.7,83.63333333,84.63333333,93,93,95.4,86
86.5625,84,83.28333333,82.81666667,87,89,97,72
83.9375,85.95,83.06666667,83.48333333,87,89,94.8,84
83.25,84.9,85.63333333,84.58333333,87,93,95.8,80
83.9375,87.4,85.53333333,85.18333333,88,94,95.2,90
83.91666667,84.45,84.41666667,85.75,88,94,94.8,94
85.1875,86.75,85.85,86.6,88,91,96.6,88
83.25,83.7,83.1,84,87,90,93.6,82
84.4375,88.4,87.26666667,87.68333333,87,93,95.4,86
84.75,84,83.48333333,84.05,86,90,93.6,76
91.1875,85.13333333,87,90.85,88,94,97,90
90.375,95.25,88.43333333,89.58333333,90,94,97,94
84.1875,84.15,84.63333333,86.33333333,87,89,96.4,90
92.5625,85.46666667,87.65,89.1,87,92,97,92
83.5,83.8,83.78333333,83.58333333,86,89,94.8,70
87.875,85.3,82.38333333,82.16666667,87,91,96.4,82
88.4375,86.6,86.025,88.78333333,87,91,93.6,78
83.9375,84.9,85.55,86.13333333,87,92,95.8,90
83.5625,83.75,82,81.5,87,88,91.2,76
83.375,85.76666667,83.33333333,82.95,87,91,94.8,86
91.41666667,85.85,83.3,83.21666667,87,93,94.8,86
84.625,83.45,85.25,85.51666667,86,89,92.6,80
85.9375,86.45,83,83.9,87,91,95.2,78
91.875,85.05,90.25,89.15,87,93,96.6,88
84.8125,84.45,87.81666667,87.2,87,89,94.4,78
85.9375,86.05,84.58333333,85.5,90,91,94.8,80
84.9375,85.2,82.85,82.55,87,89,92.8,80
84.875,84.5,83.53333333,82.43333333,86,90,95,86
90.65,88.98333333,90.875,88.36666667,87,89,96.2,96
86.4,84.91666667,88.31666667,86.18333333,88,90,96.2,82
86.10416667,84,84.73333333,86.48333333,87,90,93.4,86
84.66666667,85.9,89.275,89.06666667,87,90,95.8,78
83.875,84.46666667,83.38333333,83.56666667,87,90,96,80
86.1875,84.4,84.56666667,85.38333333,88,92,94.8,84
84.5625,84.35,83.13333333,83.5,88,90,96,78
86.1875,84.85,83.38333333,83.88333333,88,90,95.2,78
